Parameter Type,Hash Function,Trials,Overall time,Mean,Std Dev,Variance,Confidence Interval,25th Percentile,Median,75th Percentile,Range,Min,Max,
Standard Parameters (2 Primes (1/2N+1/2N) with arbitrary e selection):,SHA-256,3847,110220.69075 ms,28.65108 ms,29.86520 ms,891.93035 ms²,95% with bounds 27.70734 ms - 29.59482 ms,3.02963 ms,22.36271 ms,48.90454 ms,118.46904 ms,0.42096 ms,118.89000 ms,
Standard Parameters (3 Primes (1/4N+1/4N+1/2N) with arbitrary e selection):,SHA-256,3847,110543.44505 ms,28.73497 ms,30.00451 ms,900.27083 ms²,95% with bounds 27.78683 ms - 29.68312 ms,3.03246 ms,22.32588 ms,48.36338 ms,117.77425 ms,0.42071 ms,118.19496 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-256 with MGF1 (2560bit),3847,110560.21354 ms,28.73933 ms,30.05778 ms,903.47003 ms²,95% with bounds 27.78951 ms - 29.68916 ms,3.03071 ms,22.32096 ms,48.18846 ms,118.17867 ms,0.42208 ms,118.60075 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-256 with MGF1 (2560bit),3847,109812.87480 ms,28.54507 ms,29.89606 ms,893.77450 ms²,95% with bounds 27.60035 ms - 29.48978 ms,3.03071 ms,16.39875 ms,48.45329 ms,118.69279 ms,0.42083 ms,119.11363 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHA-512 with MGF1 (2560bit),3847,109849.48992 ms,28.55459 ms,29.91990 ms,895.20036 ms²,95% with bounds 27.60912 ms - 29.50005 ms,3.03121 ms,17.04833 ms,47.85508 ms,117.85313 ms,0.42054 ms,118.27367 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHA-512 with MGF1 (2560bit),3847,110147.33356 ms,28.63201 ms,29.94937 ms,896.96472 ms²,95% with bounds 27.68561 ms - 29.57841 ms,3.03008 ms,16.66504 ms,48.96158 ms,125.64558 ms,0.42029 ms,126.06588 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-128 (2560bit),3847,110279.59196 ms,28.66639 ms,30.02853 ms,901.71290 ms²,95% with bounds 27.71749 ms - 29.61529 ms,3.02975 ms,16.68963 ms,48.64829 ms,119.24821 ms,0.42025 ms,119.66846 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-128 (2560bit),3847,110238.15134 ms,28.65562 ms,29.94547 ms,896.73099 ms²,95% with bounds 27.70934 ms - 29.60189 ms,3.03113 ms,22.36129 ms,48.85358 ms,116.55750 ms,0.42100 ms,116.97850 ms,
Provable Parameters (2 Primes (1/2N+1/2N) with small e selection):,SHAKE-256 (2560bit),3847,110250.25989 ms,28.65876 ms,29.92739 ms,895.64848 ms²,95% with bounds 27.71306 ms - 29.60447 ms,3.03083 ms,22.35354 ms,48.94058 ms,117.95200 ms,0.42083 ms,118.37283 ms,
Provable Parameters (3 Primes (1/4N+1/4N+1/2N) with small e selection):,SHAKE-256 (2560bit),3847,110979.31572 ms,28.84828 ms,30.23115 ms,913.92259 ms²,95% with bounds 27.89297 ms - 29.80358 ms,3.03108 ms,22.29133 ms,47.94808 ms,117.30396 ms,0.42150 ms,117.72546 ms,
